,0,cond
0,Vch,CS
1,qst,CS
2,rch,CS
3,Srt,CS
4,dcs,CS
5,dzv,CS
6,dnd,CS
7,dsr,CS
8,sdp,CS
9,Djs,CS
10,wgn,CS
11,wpr,CS
12,mgr,CS
13,mbt,CS
14,Wcs,CS
15,dln,CS
16,wcs,CS
17,gnf,CS
18,hct,CS
19,Wgr,CS
20,Znd,CS
21,vmn,CS
22,wsr,CS
23,bmn,CS
24,wnk,CS
25,dmr,CS
26,hns,CS
27,Drz,CS
28,nvr,CS
29,dtm,CS
30,vhn,CS
31,dhr,CS
32,fts,CS
33,Wjx,CS
34,cls,CS
35,myl,CS
36,gbt,CS
37,Dyr,CS
38,mnn,CS
39,bsf,CS
40,hnb,CS
41,vfr,CS
42,mhm,CS
43,tkn,CS
44,zkm,CS
45,Sst,CS
46,Qqn,CS
47,dcs,CS
48,njp,CS
49,lys,CS
50,Dhr,CS
51,Wlr,CS
52,zbr,CS
53,Gmt,CS
54,tmt,CS
55,bjs,CS
56,wfg,CS
57,Nmn,CS
58,Tqg,CS
59,Srr,CS
60,hrr,CS
61,Lls,CS
62,Wtg,CS
63,Ndr,CS
64,Mml,CS
65,Nch,CS
66,grr,CS
67,Tmf,CS
68,dns,CS
69,hwn,CS
70,vsm,CS
71,wsr,CS
72,Mtn,CS
73,Vls,CS
74,Trt,CS
75,Mzt,CS
76,tkt,CS
77,Shg,CS
78,nxn,CS
79,mlg,CS
80,scg,CS
81,Gth,CS
82,kmm,CS
83,Mnr,CS
84,Hft,CS
85,gdb,CS
86,Drr,CS
87,Vhn,CS
88,Phr,CS
89,Frt,CS
90,Gsb,CS
91,Dbn,CS
92,Jyb,CS
93,Bgs,CS
94,nll,CS
95,Bjq,CS
96,sjh,CS
97,gvh,CS
98,Thd,CS
99,Mrt,CS
100,Wkr,CS
101,srg,CS
102,Slk,CS
103,Htb,CS
104,vft,CS
105,glt,CS
106,Vkr,CS
107,Bzn,CS
108,Mss,CS
109,Nlw,CS
110,Zlm,CS
111,whh,CS
112,tmt,CS
113,Svm,CS
114,wlm,CS
115,Slx,CS
116,wmn,CS
117,tvt,CS
118,nvl,CS
119,Rdf,CS
120,Bcb,CS
121,gmb,CS
122,Wln,CS
123,Zdg,CS
124,Vrm,CS
125,Bwn,CS
126,hrl,CS
127,wns,CS
128,Hzl,CS
129,rln,CS
130,Twr,CS
131,rff,CS
132,Tgn,CS
133,Pll,CS
134,Rtt,CS
135,Jbm,CS
136,Bts,CS
137,nwh,CS
138,ljg,CS
139,Tvr,CS
140,Fhg,CS
141,Tgt,CS
142,Jby,CS
143,prb,CS
144,Lkg,CS
145,Dns,CS
146,Mzt,CS
147,Brr,CS
148,Dym,CS
149,Sps,CS
150,Vmn,CS
151,Hgt,CS
152,Zjr,CS
153,Gcr,CS
154,Nxs,CS
155,Drn,CS
156,Mpx,CS
157,Hwz,CS
158,Bnd,CS
159,Sln,CS
160,Sgf,CS
161,Qpp,CS
