;String;cond;t_t;
0;Vch;CS;Train;78
1;qst;CS;Train;79
2;rch;CS;Test;11
3;Srt;CS;Train;26
4;dcs;CS;Train;90
5;dzv;CS;Test;7
6;dnd;CS;Train;34
7;dsr;CS;Train;68
8;sdp;CS;Test;11
9;Djs;CS;Train;39
10;wgn;CS;Train;61
11;wpr;CS;Train;32
12;mgr;CS;Test;1
13;mbt;CS;Train;45
14;Wcs;CS;Train;75
15;dln;CS;Train;24
16;wcs;CS;Train;69
17;gnf;CS;Test;1
18;hct;CS;Train;85
19;Wgr;CS;Train;89
20;Znd;CS;Train;90
21;vmn;CS;Train;52
22;wsr;CS;Test;16
23;bmn;CS;Train;50
24;wnk;CS;Train;48
25;dmr;CS;Test;20
26;hns;CS;Train;62
27;Drz;CS;Train;88
28;nvr;CS;Train;76
29;dtm;CS;Test;4
30;vhn;CS;Train;73
31;dhr;CS;Train;88
32;fts;CS;Train;75
33;Wjx;CS;Train;40
34;cls;CS;Train;66
35;myl;CS;Test;20
36;gbt;CS;Test;15
37;Dyr;CS;Train;83
38;mnn;CS;Train;37
39;bsf;CS;Train;87
40;hnb;CS;Test;19
41;vfr;CS;Train;87
42;mhm;CS;Train;73
43;tkn;CS;Test;14
44;zkm;CS;Train;41
45;Sst;CS;Train;97
46;Qqn;CS;Train;27
47;dcs;CS;Test;20
48;njp;CS;Test;15
49;lys;CS;Train;68
50;Dhr;CS;Train;84
51;Wlr;CS;Train;81
52;zbr;CS;Train;99
53;Gmt;CS;Train;50
54;tmt;CS;Train;73
55;bjs;CS;Test;10
56;wfg;CS;Test;7
57;Nmn;CS;Train;74
58;Tqg;CS;Test;10
59;Srr;CS;Train;36
60;hrr;CS;Train;39
61;Lls;CS;Train;52
62;Wtg;CS;Train;97
63;Ndr;CS;Train;37
64;Mml;CS;Train;39
65;Nch;CS;Train;38
66;grr;CS;Train;52
67;Tmf;CS;Train;99
68;dns;CS;Train;57
69;hwn;CS;Train;54
70;vsm;CS;Train;35
71;wsr;CS;Train;82
72;Mtn;CS;Train;89
73;Vls;CS;Train;90
74;Trt;CS;Train;80
75;Mzt;CS;Train;83
76;tkt;CS;Train;89
77;Shg;CS;Train;34
78;nxn;CS;Train;63
79;mlg;CS;Train;25
80;scg;CS;Train;86
81;Gth;CS;Train;62
82;kmm;CS;Train;63
83;Mnr;CS;Train;34
84;Hft;CS;Train;53
85;gdb;CS;Train;32
86;Drr;CS;Test;16
87;Vhn;CS;Train;91
88;Phr;CS;Train;68
89;Frt;CS;Train;22
90;Gsb;CS;Train;24
91;Dbn;CS;Train;40
92;Jyb;CS;Train;79
93;Bgs;CS;Train;96
94;nll;CS;Train;66
95;Bjq;CS;Train;85
96;sjh;CS;Train;96
97;gvh;CS;Train;21
98;Thd;CS;Train;76
99;Mrt;CS;Train;90
100;Wkr;CS;Test;14
101;srg;CS;Train;76
102;Slk;CS;Train;72
103;Htb;CS;Test;14
104;vft;CS;Train;33
105;glt;CS;Train;37
106;Vkr;CS;Test;8
107;Bzn;CS;Train;87
108;Mss;CS;Train;70
109;Nlw;CS;Train;65
110;Zlm;CS;Train;33
111;whh;CS;Train;27
112;tmt;CS;Train;86
113;Svm;CS;Train;35
114;wlm;CS;Train;59
115;Slx;CS;Test;16
116;wmn;CS;Train;45
117;tvt;CS;Train;27
118;nvl;CS;Train;21
119;Rdf;CS;Train;96
120;Bcb;CS;Test;3
121;gmb;CS;Test;20
122;Wln;CS;Train;62
123;Zdg;CS;Train;69
124;Vrm;CS;Test;11
125;Bwn;CS;Train;85
126;hrl;CS;Train;88
127;wns;CS;Train;54
128;Hzl;CS;Train;51
129;rln;CS;Test;1
130;Twr;CS;Train;48
131;rff;CS;Train;94
132;Tgn;CS;Train;99
133;Pll;CS;Train;49
134;Rtt;CS;Train;70
135;Jbm;CS;Train;69
136;Bts;CS;Test;9
137;nwh;CS;Train;67
138;ljg;CS;Test;17
139;Tvr;CS;Train;34
140;Fhg;CS;Train;49
141;Tgt;CS;Train;39
142;Jby;CS;Train;26
143;prb;CS;Train;44
144;Lkg;CS;Test;12
145;Dns;CS;Train;51
146;Mzt;CS;Train;39
147;Brr;CS;Train;90
148;Dym;CS;Train;32
149;Sps;CS;Train;65
150;Vmn;CS;Train;71
151;Hgt;CS;Test;0
152;Zjr;CS;Train;25
153;Gcr;CS;Train;28
154;Nxs;CS;Train;97
155;Drn;CS;Test;1
156;Mpx;CS;Test;17
157;Hwz;CS;Test;16
158;Bnd;CS;Train;46
159;Sln;CS;Train;68
160;Sgf;CS;Test;5
161;Qpp;CS;Train;94
162;Smk;CS;Train;39
163;Fhn;CS;Train;43
164;bct;CS;Train;22
165;gxb;CS;Test;0
166;Vjm;CS;Train;26
167;Gds;CS;Train;86
168;Zhr;CS;Train;100
169;Tjn;CS;Train;70
170;Rbm;CS;Train;65
171;nms;CS;Train;53
172;Klg;CS;Test;3
173;chd;CS;Train;96
174;Kch;CS;Train;80
175;lng;CS;Train;60
176;Svt;CS;Train;73
177;Wtm;CS;Train;95
178;Tlm;CS;Train;76
179;zcg;CS;Train;82
180;hpw;CS;Test;15
181;Wyt;CS;Train;96
182;rzt;CS;Train;86
183;Tgt;CS;Train;78
184;Hqf;CS;Train;94
185;Chm;CS;Test;14
186;Rtt;CS;Train;27
187;yng;CS;Train;40
188;Mwc;CS;Train;60
189;Fvn;CS;Train;49
190;pxr;CS;Test;2
191;Jrn;CS;Train;79
192;Snz;CS;Test;17
193;Fss;CS;Train;55
194;Ytn;CS;Train;40
195;Szn;CS;Train;90
196;Hjr;CS;Train;27
