,0,CS_v1,CS_v2,CS_v3,PW_v1,PW_v2,PW_v3
0,Bad,Bhd,Bqd,Bgd,Bud,Bod,Bod
1,ihr,thr,rhr,xhr,ehr,ähr,ehr
2,Demo,Dkmq,Dhmv,Dxmj,Dimo,Dime,Duma
3,Fahne,Frhnk,Fthns,Fmhnp,Föhni,Fohnü,Fehni
4,Zuge,Zrgz,Zfgg,Zfgv,Zegu,Zegu,Zaga
5,Gaben,Gjbkn,Gnbzn,Grbfn,Gubun,Göbün,Geban
6,hauch,hqtch,hrcch,hbfch,huich,haoch,hoech
7,Dill,Dzll,Dfll,Dvll,Doll,Doll,Döll
8,muss,mgss,mvss,mlss,mess,mess,moss
9,Delta,Dnltj,Dxltm,Dfltm,Delte,Dalti,Dulta
10,Geige,Ggsgw,Gnzgx,Gsdgx,Gaogö,Guugo,Guogü
11,Bette,Btttw,Bqttr,Bmttv,Betto,Botte,Botto
12,Arche,Srchs,Mrchb,Zrchh,Urchu,Ircho,Ircho
13,zankt,zznkt,znnkt,zpnkt,zänkt,zinkt,zinkt
14,Arie,Drzc,Lrxm,Nrmd,Eroe,Erea,Eree
15,Gasse,Gnssw,Gzssc,Grssh,Gussa,Gusse,Gässi
16,Seid,Sxfd,Sgdd,Sbtd,Suod,Seud,Saad
17,Rocks,Rycks,Rrcks,Rscks,Racks,Räcks,Racks
18,Schub,Schvb,Schnb,Schdb,Schüb,Schib,Scheb
19,Lasst,Lrsst,Ltsst,Lmsst,Losst,Lusst,Lesst
20,elf,hlf,wlf,jlf,alf,alf,ülf
21,Hasen,Hzsnn,Hcstn,Hkskn,Hisun,Hasan,Hesön
22,Ulkig,Glklg,Klkxg,Slkxg,Ilkag,Olkag,Alkeg
23,Tat,Tkt,Twt,Tct,Tüt,Töt,Tet
24,Biene,Btvnb,Bbmnf,Bmtnw,Boona,Boene,Boano
25,Guete,Gndtt,Gdhtc,Glhtz,Goutö,Gaäta,Gäatö
26,fasst,fksst,fysst,frsst,fesst,fosst,fesst
27,Ricke,Rlckm,Rsckx,Rrckr,Recka,Ricko,Rocku
28,Logis,Lqggs,Lxgss,Lcgbs,Lügus,Legos,Lugos
29,Hacke,Hrcky,Hgcky,Hqckb,Hackö,Hücka,Hicko
30,Wilde,Wzldx,Wsldz,Whldy,Welde,Wuldo,Wüldu
31,Gote,Gttw,Gxtt,Gktk,Gati,Güto,Götö
32,Koje,Kxjq,Kzjr,Kzjr,Kuji,Köjo,Keje
33,ideal,hdzwl,zdmml,hdsrl,odaal,edoal,udael
34,Mund,Mxnd,Mrnd,Mfnd,Mand,Mend,Mind
35,alias,tlkns,slmms,slwks,elees,ülois,älüos
36,lerne,lnrnh,lzrnj,lmrnl,lurne,lorni,lernä
37,coole,cxtly,cvglc,cyllf,ceila,cuulu,cäölu
38,Spind,Spvnd,Spjnd,Spnnd,Spund,Spönd,Spänd
39,Hiev,Hprv,Hkyv,Hcyv,Heöv,Hüov,Huiv
40,rohe,rnhc,rzhl,rbhb,rihä,reho,riha
41,Trabe,Trwbk,Trdbs,Trzbd,Träbä,Trebo,Tribi
42,rohem,rfhpm,rzhxm,rhhym,rehem,rüham,rihim
43,Usus,Zsss,Csns,Hsns,Isäs,Eses,Asis
44,Worum,Wlrrm,Wtrfm,Wprtm,Weram,Worem,Würem
45,mueht,mwght,mhmht,mrght,müoht,mooht,muiht
46,Jumbo,Jrmbk,Jlmbk,Jbmbs,Jimbo,Jambo,Jumbe
47,Habet,Hcbpt,Hcbzt,Hdbxt,Habat,Hubot,Hibut
48,fick,fwck,fsck,fkck,fuck,fock,fuck
49,Nervt,Nvrvt,Nmrvt,Nxrvt,Nirvt,Norvt,Narvt
50,Lau,Lzd,Lbf,Lcc,Laü,Lio,Lao
51,Hit,Hpt,Hxt,Hkt,Hot,Het,Hot
52,ewig,xwfg,rwqg,gwxg,awög,awug,owig
53,Kehle,Krhlj,Kbhlf,Khhlv,Kuhla,Kuhlu,Kihla
54,Warze,Wfrzk,Wlrzz,Wxrzr,Wärzo,Werze,Wörzä
55,Saege,Sqrgv,Swtgl,Skngm,Söigu,Soogi,Siugu
56,fasle,fyslr,ftslj,fzsld,faslä,faslü,fosle
57,vom,vdm,vsm,vlm,väm,vum,vim
58,derbe,dxrbk,djrbj,dwrbn,durbo,darbe,dürbu
59,Abtei,Xbtdr,Nbtss,Tbtpx,Ebteo,Übtua,Ibteo
60,Folgt,Ftlgt,Fvlgt,Fslgt,Filgt,Felgt,Filgt
61,Loben,Lzbln,Lzbqn,Lzbyn,Labon,Lobin,Lebin
