,Word,CS_v1,CS_v2,CS_v3,PW_v1,PW_v2,PW_v3,train_test
0,grabe,grsbd,grybv,grsbv,graba,grebe,gribu,Train
1,danke,ddnkl,dfnkp,dqnkm,dunko,dinke,dunku,Test
2,barst,bhrst,bwrst,bdrst,burst,borst,berst,Test
3,tito,tzty,tttn,tjtc,titi,teto,tate,Train
4,otter,pttkr,xttqr,sttlr,ottor,atter,ettor,Train
5,oeder,njdqr,mldbr,ppdjr,oedur,oodir,uador,Train
6,laerm,lkprm,lktrm,lpkrm,laarm,liarm,loirm,Train
7,mahlt,mjhlt,mrhlt,mnhlt,muhlt,muhlt,mohlt,Train
8,habt,hdbt,hdbt,htbt,hibt,hibt,hibt,Train
9,weih,wsth,wlch,wkhh,waoh,woih,wuuh,Train
10,pauls,pjdls,plhls,pgzls,puuls,puals,peils,Train
11,denke,dsnkx,dlnkk,dvnkl,denki,dunko,dunka,Train
12,jene,jqnf,jhnn,jcnx,jona,jena,jine,Train
13,dali,dcln,dhlw,dyly,dile,doli,duli,Train
14,mulde,mdldt,mylds,mlldd,muldi,mildi,maldi,Train
15,nahm,nshm,nyhm,nghm,nuhm,nuhm,nehm,Train
16,woher,wvhgr,wyhrr,wmhvr,waher,wahir,wehar,Train
17,moral,mqrnl,mcrql,mtrbl,morul,mirel,marel,Train
18,areal,trtsl,yrsll,krwxl,aroul,ereul,erael,Test
19,rafft,rcfft,rlfft,rqfft,rofft,refft,rufft,Train
20,siel,sxbl,slvl,sgkl,saol,sual,saol,Train
21,obhut,zbhqt,rbhmt,wbhwt,obhet,ubhit,ebhat,Test
22,wirre,wfrrn,wcrrm,wrrrv,worri,warra,worri,Train
23,antun,mntmn,wntsn,vnttn,enton,inton,ontun,Test
24,lagst,lngst,lxgst,lggst,ligst,logst,logst,Train
25,swing,swjng,swyng,swyng,swong,swung,sweng,Test
26,den,dkn,dcn,dwn,dun,dan,dun,Test
27,deckt,dnckt,dpckt,dhckt,dackt,dickt,dockt,Train
28,pures,pzrts,pvrxs,pwrhs,poris,piras,poras,Train
29,kanon,kxnnn,kpnvn,knnzn,kunan,kenen,kanen,Test
