,0,cond
0,SNXTH,CS
1,JCVRH,CS
2,PLMYS,CS
3,WNKGX,CS
4,HDRKS,CS
5,SYLLY,CS
6,VJRG,CS
7,VTTLH,CS
8,MQCHF,CS
9,DDMBM,CS
10,NJHLC,CS
11,KGWNS,CS
12,SPMRK,CS
13,SLDX,CS
14,BGBR,CS
15,WRRTH,CS
16,GPLT,CS
17,WLY,CS
18,GPMSK,CS
19,CLJCK,CS
20,YLHTQ,CS
21,HZY,CS
22,WKNDL,CS
23,DMRT,CS
24,VNDWT,CS
25,DSVYS,CS
26,RQVN,CS
27,QGHNT,CS
28,MBSS,CS
29,JDFFY,CS
30,JNNK,CS
31,KWMN,CS
32,PKRLQ,CS
33,KRVSS,CS
34,BGTPR,CS
35,YGNG,CS
36,TSTFN,CS
37,KPNK,CS
38,TTRSQ,CS
39,GBQR,CS
40,PCNF,CS
41,FJH,CS
42,RYCRS,CS
43,CRSPS,CS
44,DWCN,CS
45,WDSPS,CS
46,KYFFY,CS
47,LXTY,CS
48,ZNDG,CS
49,BSPKD,CS
50,HRQN,CS
51,MZCHZ,CS
52,CHXCH,CS
53,VRLWG,CS
54,JJMRL,CS
55,BBBV,CS
56,JTZ,CS
57,DLFF,CS
58,MCFP,CS
59,WXHNT,CS
60,TKXQR,CS
61,RQTH,CS
62,HPLZP,CS
63,TKNPL,CS
64,LNSMN,CS
65,GWNNH,CS
66,SLHP,CS
67,NYCFR,CS
68,NMB,CS
69,LSBST,CS
70,WHRXT,CS
71,GCLDY,CS
72,KRRPS,CS
73,MQLLY,CS
74,DGMC,CS
75,VLDLZ,CS
76,VGTN,CS
77,FLMKS,CS
78,DLMM,CS
79,VNLTW,CS
80,KYLYY,CS
81,HCT,CS
82,BDRNK,CS
83,RNKP,CS
84,MJLQ,CS
85,HHZ,CS
86,MPKM,CS
87,BFBLP,CS
88,SMFLB,CS
89,NCB,CS
90,YFHMN,CS
91,VLDL,CS
92,FGV,CS
93,NQTSH,CS
94,ZSTVS,CS
95,DQL,CS
96,HMSCN,CS
97,DPFF,CS
98,WHWN,CS
99,KRXS,CS
100,CDLL,CS
101,YTNSS,CS
102,MCFGX,CS
103,CXRT,CS
104,WLD,CS
105,HQBQR,CS
106,CHQFS,CS
107,GHTJS,CS
108,GTQGT,CS
109,NSS,CS
110,LLSFN,CS
111,PCCCH,CS
112,QJNHQ,CS
113,NSTTT,CS
